HAB;WC;M2C;EST;AA;ARME;TERZ;INEX;ORIE;GJE;TRAS;ASC;PISC;ZV;PV
2;2;85;0;1;1;0;0;15;1;0;0;1;1;920.000
2;2;119;0;0;0;0;0;2;0;0;0;1;0;795.000
3;2;245;0;0;0;0;0;15;0;1;0;0;0;795.000
5;3;260;1;0;0;0;0;1;0;1;0;1;1;790.500
3;2;180;0;0;0;0;0;12;0;1;0;0;0;760.000
4;5;145;0;0;0;0;0;1;0;0;0;1;1;720.000
2;2;150;2;0;1;0;0;3;1;1;0;0;0;680.000
5;3;253;0;1;1;1;0;15;1;0;0;1;1;675.000
4;4;430;0;1;1;1;0;15;0;1;0;1;1;630.000
4;3;200;0;0;0;1;0;1;0;1;0;1;1;630.000
3;2;160;0;0;0;1;0;11;1;1;0;0;0;629.000
5;3;243;0;0;1;1;2;15;1;1;0;1;1;600.000
4;3;155;0;0;0;0;0;11;0;1;0;0;0;590.000
3;2;140;0;0;0;1;0;14;0;0;0;0;0;560.000
4;2;184;1;1;0;1;0;15;1;0;0;1;1;560.000
4;2;156;0;0;1;0;0;15;0;0;0;1;1;550.000
4;2;135;0;1;1;1;2;3;1;1;0;1;1;550.000
2;2;122;0;0;0;1;0;1;1;1;0;1;1;549.000
4;3;164;0;1;0;1;0;1;1;0;0;1;1;549.000
3;3;169;0;1;0;1;0;13;0;0;0;0;0;515.000
3;2;128;2;1;1;1;0;15;1;1;0;0;0;499.000
5;2;200;0;0;0;0;0;15;1;1;0;1;1;499.000
3;2;111;0;1;0;0;0;11;0;0;0;1;1;499.000
2;1;840;2;1;1;1;1;15;0;0;1;1;1;498.000
3;2;130;0;1;0;1;0;15;1;1;0;1;1;490.000
4;2;171;0;0;0;1;0;1;1;0;0;1;1;490.000
6;2;185;1;1;1;1;0;15;1;1;0;1;1;490.000
3;2;180;0;0;0;0;0;1;1;0;0;0;0;489.000
3;3;183;0;0;0;0;0;1;1;0;0;0;0;475.000
3;2;198;0;0;0;0;0;1;0;1;0;0;0;460.000
3;2;192;1;1;1;1;0;15;1;1;1;1;1;450.000
1;1;60;0;0;1;1;0;15;1;1;0;1;1;450.000
4;3;180;0;0;1;0;0;11;0;1;0;0;0;450.000
3;2;116;2;0;1;0;0;12;1;1;0;0;0;443.716
3;2;94;0;1;0;0;0;15;1;0;0;1;1;435.000
3;2;110;0;1;1;0;0;12;0;0;0;0;0;425.000
2;2;130;0;0;1;1;0;15;0;1;0;1;1;425.000
6;4;311;0;0;0;0;0;12;0;0;0;1;1;420.000
3;2;136;0;1;0;0;0;15;1;1;0;1;1;420.000
1;1;65;0;0;0;1;0;1;1;1;0;1;1;420.000
3;1;70;0;0;1;0;0;1;0;1;0;0;0;414.000
5;3;222;0;0;1;1;2;15;1;1;0;1;1;408.000
4;3;175;0;1;0;1;2;3;1;1;0;1;1;400.000
3;2;98;0;1;0;0;0;11;1;1;0;1;1;399.000
2;2;151;2;1;1;0;0;15;0;1;0;0;1;398.000
3;2;147;0;0;0;0;0;11;0;0;0;1;0;395.000
3;2;164;0;1;1;1;2;15;1;1;0;1;1;395.000
2;2;83;2;1;1;1;2;15;1;1;2;1;1;393.700
3;2;130;0;0;0;0;1;3;1;1;0;0;1;390.000
3;2;113;0;0;0;0;1;1;0;0;0;0;0;390.000
3;2;88;2;0;1;0;0;15;1;0;0;1;1;380.000
3;2;130;0;0;0;1;0;15;1;1;0;1;1;380.000
3;2;130;0;0;0;0;0;15;0;0;0;0;0;379.900
2;2;126;2;0;0;0;0;1;0;0;0;0;1;379.000
3;2;103;0;0;0;1;0;11;0;1;0;0;1;375.000
2;2;90;0;0;0;1;0;1;0;0;0;1;1;375.000
2;2;100;2;0;1;0;0;1;0;1;0;1;1;370.000
3;2;75;0;0;0;1;0;12;1;0;0;0;1;370.000
3;2;104;0;1;0;1;0;1;0;0;0;1;0;365.000
3;2;115;0;0;0;1;2;15;1;0;0;0;0;360.500
3;2;105;0;1;0;0;0;1;0;0;0;1;1;360.000
4;3;270;0;0;0;1;0;15;0;1;0;1;1;360.000
2;2;117;2;1;1;0;0;15;0;1;0;0;1;355.000
4;3;150;0;1;1;1;0;11;0;0;0;1;1;355.000
2;1;128;2;1;1;0;0;15;0;1;0;0;0;355.000
4;2;180;2;0;1;0;0;15;0;0;0;1;1;350.000
4;2;150;0;1;0;0;0;14;0;0;0;1;1;350.000
2;2;90;0;1;0;0;0;1;1;0;0;0;1;350.000
2;2;160;0;0;0;0;1;2;0;1;0;0;1;350.000
3;2;75;0;0;0;1;0;2;1;1;0;0;1;350.000
4;3;170;0;1;0;1;0;15;0;0;0;1;1;350.000
2;2;211;2;0;1;1;2;11;1;0;0;0;1;350.000
5;3;238;0;1;1;1;2;15;1;0;1;1;1;348.000
2;2;122;0;0;0;1;0;3;1;1;0;1;1;346.000
2;2;130;0;0;0;0;0;12;0;1;0;0;0;345.000
4;2;116;2;0;0;0;0;15;0;1;0;0;0;345.000
4;3;180;0;1;0;1;0;14;1;1;0;1;1;340.000
3;2;96;2;1;1;1;2;15;0;0;0;0;1;340.000
2;2;120;0;0;0;0;0;1;0;0;0;0;0;340.000
2;2;147;2;0;1;0;0;2;1;0;0;0;0;340.000
3;2;152;0;1;0;0;0;11;0;0;0;1;1;339.000
3;2;120;0;0;1;1;2;15;1;0;0;1;1;332.054
4;3;140;0;1;0;1;0;1;1;0;0;1;1;330.000
4;2;160;0;1;1;0;0;15;1;1;0;1;1;330.000
2;2;104;0;1;1;0;0;1;1;1;1;0;0;325.000
4;2;190;0;0;0;1;0;2;1;1;0;1;1;325.000
3;2;100;0;1;1;0;0;15;0;0;0;1;1;325.000
4;2;143;2;1;1;1;2;15;1;1;0;0;1;323.000
2;2;85;0;0;0;0;0;15;0;1;0;0;0;320.000
4;2;143;2;1;1;1;2;15;1;1;0;0;1;318.000
3;2;110;0;1;1;0;0;15;0;0;1;1;0;315.000
3;2;80;0;1;0;0;0;15;1;1;0;1;1;315.000
2;1;95;0;1;1;0;0;1;0;1;0;1;1;315.000
4;3;156;1;0;1;1;0;12;1;1;0;1;1;310.890
4;2;145;0;1;0;0;0;15;1;1;0;1;1;305.000
3;2;100;0;1;0;0;0;1;0;0;0;0;0;304.400
3;2;80;2;1;1;0;0;15;1;1;0;0;1;303.000
2;2;90;0;1;1;1;0;15;0;0;0;1;1;300.000
4;2;115;2;1;1;1;0;15;1;1;0;0;1;299.500
2;2;93;0;1;1;0;0;15;1;0;2;1;1;299.000
3;2;100;0;1;0;0;0;15;1;0;0;1;1;298.000
1;1;135;2;0;1;0;0;1;1;1;0;0;0;298.000
3;2;110;0;1;0;0;0;2;0;1;0;1;1;296.000
3;2;123;0;0;0;0;0;15;0;0;0;1;0;295.000
3;1;78;0;1;0;0;0;15;1;1;0;1;0;290.000
3;2;118;0;1;0;0;0;2;0;1;0;0;0;290.000
3;2;108;0;0;0;0;0;1;0;0;0;0;1;290.000
3;2;130;0;0;0;1;2;1;1;1;0;0;0;290.000
2;2;114;0;1;1;0;0;15;0;0;0;0;0;290.000
4;3;160;0;1;0;0;0;15;0;0;0;1;1;289.500
4;3;150;0;1;0;0;0;3;0;0;0;1;1;289.500
3;2;156;2;1;1;0;0;15;0;0;0;0;0;289.000
3;2;157;2;1;1;0;0;15;0;0;0;0;0;289.000
3;2;123;0;1;0;1;0;2;0;1;0;1;1;288.500
3;2;95;0;1;0;0;0;15;0;0;0;1;0;287.000
3;2;105;0;1;0;0;0;1;1;1;0;1;1;287.000
5;2;149;0;1;1;1;0;15;0;0;0;1;1;285.000
10;4;649;0;1;0;0;0;15;0;1;1;1;1;285.000
4;2;110;1;1;1;1;0;15;1;1;0;1;1;285.000
3;2;87;0;1;0;1;0;15;0;0;1;0;1;285.000
2;2;93;2;1;1;1;0;15;1;1;0;1;1;283.500
2;2;120;0;1;0;1;2;15;1;1;0;1;1;283.000
2;2;278;2;1;1;1;2;15;1;1;1;1;1;282.500
4;3;250;0;0;0;0;0;12;0;0;1;0;1;280.000
4;2;154;0;0;0;0;0;1;1;0;0;1;1;277.000
4;2;112;0;1;0;1;0;15;1;0;0;1;1;275.000
6;2;196;1;1;0;0;0;5;0;1;0;1;1;275.000
2;1;98;0;1;1;1;2;15;1;1;2;1;1;275.000
3;2;107;0;1;0;1;0;15;1;1;0;1;1;274.000
4;1;95;0;1;1;0;0;2;1;1;0;1;1;273.000
2;2;115;2;0;1;0;0;12;0;1;2;0;0;273.000
6;2;300;0;0;0;0;0;15;0;0;0;1;1;270.000
2;2;80;2;0;0;0;0;15;0;1;0;0;0;269.000
2;1;50;0;1;1;1;0;15;0;1;1;0;1;265.000
2;2;105;2;1;1;0;0;15;0;0;0;0;0;261.400
3;2;100;0;1;0;1;0;15;0;0;0;1;1;260.000
4;3;250;0;1;0;1;0;15;0;0;0;0;0;260.000
1;1;45;0;1;1;0;0;15;1;0;1;0;0;260.000
3;2;80;2;1;1;1;2;15;1;1;2;1;1;259.000
1;1;60;0;0;0;1;0;12;1;1;1;1;1;258.000
3;2;105;2;0;0;1;2;15;1;1;0;0;0;257.210
3;2;100;0;1;0;0;0;7;0;1;0;1;0;255.000
3;1;80;0;1;1;0;0;15;0;0;1;1;0;255.000
4;3;145;0;1;0;1;0;15;1;1;0;1;1;254.600
4;2;116;2;0;0;0;0;15;1;1;0;0;0;253.000
3;2;114;0;1;0;1;0;15;1;1;0;1;1;252.000
2;2;85;0;0;1;0;0;2;0;0;0;0;1;252.000
3;2;92;0;1;0;1;0;4;0;0;0;0;0;250.900
3;2;100;2;0;0;1;2;15;1;1;0;0;0;250.070
4;2;108;1;1;1;1;0;15;0;0;0;1;1;250.000
2;2;78;0;1;0;0;0;15;0;0;0;1;1;250.000
2;2;103;0;0;0;0;0;12;0;0;0;0;0;250.000
3;2;135;0;1;0;0;0;11;0;0;0;1;1;250.000
4;2;116;0;1;0;1;0;0;0;0;0;1;1;250.000
3;1;126;1;0;0;1;0;15;1;1;0;1;1;250.000
2;1;66;2;1;1;0;0;15;0;1;0;0;0;250.000
4;2;108;2;0;0;1;2;15;1;1;0;0;0;249.560
3;2;100;0;1;1;0;0;0;1;1;0;1;1;249.000
3;2;115;0;1;1;1;0;15;0;0;0;1;1;249.000
4;1;191;2;1;0;1;2;15;1;1;1;1;1;249.000
5;2;170;0;1;0;0;0;15;0;1;0;1;1;248.000
5;2;200;0;1;0;0;0;15;0;0;0;1;1;247.000
4;2;124;2;1;1;0;0;15;0;0;0;1;1;245.700
3;2;80;0;1;0;0;0;2;0;0;0;1;1;245.000
4;3;259;2;1;1;1;2;15;1;0;1;1;1;244.800
4;2;110;0;0;1;0;0;1;0;0;0;0;0;244.000
3;2;90;2;0;0;1;2;15;1;1;0;0;0;242.930
4;2;90;0;1;1;0;0;14;1;1;0;0;0;242.000
3;2;135;0;1;0;0;0;4;0;0;0;1;0;242.000
2;2;161;0;1;1;0;0;15;0;1;0;1;1;242.000
2;2;104;0;1;1;0;0;15;1;1;1;0;1;241.500
3;2;107;2;1;1;1;0;15;1;1;0;0;1;241.000
3;2;140;0;0;0;1;0;15;0;0;0;1;1;240.422
3;2;130;2;0;0;0;0;15;1;0;0;0;0;240.000
2;2;76;0;1;1;1;0;15;1;1;2;1;1;240.000
4;2;110;0;1;1;1;0;2;1;1;0;1;1;240.000
4;2;197;2;1;1;1;0;15;0;0;0;0;0;240.000
5;2;200;0;0;0;0;0;15;1;1;0;1;1;240.000
3;2;95;0;1;1;0;0;1;1;1;0;0;0;240.000
3;2;90;0;1;1;1;0;15;0;1;0;1;1;240.000
3;2;115;0;0;0;1;0;3;1;1;0;1;1;240.000
3;2;90;2;0;0;1;2;15;1;1;0;0;0;238.230
3;1;105;0;1;1;0;0;1;1;1;2;1;0;237.000
4;2;154;0;1;0;0;0;1;1;0;1;1;1;236.200
4;2;101;0;0;0;1;0;3;0;1;0;1;1;235.888
3;2;100;0;1;1;0;0;15;0;0;0;1;1;235.000
3;2;90;0;1;0;0;0;15;1;0;1;1;1;235.000
3;1;70;0;1;1;0;0;15;1;1;0;0;0;230.000
5;2;150;0;1;1;1;0;1;1;1;1;1;1;230.000
2;2;74;0;1;1;1;0;15;0;0;0;1;1;230.000
4;2;110;0;0;1;1;0;15;1;1;1;1;1;230.000
4;2;115;0;1;0;0;0;11;0;0;0;1;1;228.800
3;2;134;0;0;0;0;0;12;0;0;0;0;0;228.000
3;2;89;0;1;0;0;0;15;1;1;1;0;1;224.999
3;1;115;0;1;1;1;0;15;1;1;0;1;1;223.000
3;2;102;0;1;0;1;0;15;0;0;0;0;0;221.000
3;2;104;2;1;1;1;0;15;1;0;0;1;1;221.000
3;2;148;0;1;0;1;0;15;0;0;0;1;1;220.000
3;2;88;0;1;0;0;0;0;0;0;0;1;1;220.000
2;2;102;0;1;1;0;0;1;0;1;2;0;1;220.000
2;2;110;2;1;1;1;0;3;1;1;0;0;1;220.000
3;2;150;0;0;0;1;0;15;1;1;2;1;1;220.000
4;2;145;0;1;0;0;0;10;1;0;0;1;1;220.000
3;2;112;1;1;0;0;0;15;0;1;1;1;0;220.000
2;1;105;0;1;1;1;1;15;1;0;1;0;1;220.000
3;2;106;0;1;0;1;2;15;1;0;0;1;1;220.000
2;2;117;0;0;0;0;0;11;0;1;0;0;1;220.000
3;2;120;0;1;0;0;0;2;0;1;0;0;0;215.000
3;2;125;2;1;1;1;2;15;1;1;1;1;1;215.000
4;3;192;0;1;1;1;2;15;1;1;0;1;1;214.200
2;2;103;2;1;0;1;2;15;1;1;0;1;1;213.359
4;2;131;0;0;0;1;0;2;0;0;0;1;1;213.000
2;1;66;2;1;1;0;0;15;0;1;0;0;0;212.000
3;2;103;2;1;0;1;2;15;1;1;0;0;0;211.700
2;2;78;2;1;0;1;0;15;1;0;0;1;1;210.000
2;2;100;0;1;0;0;0;11;1;0;0;0;0;210.000
4;2;120;0;1;0;0;0;15;1;1;0;1;1;210.000
3;2;122;2;0;0;0;0;1;0;0;0;0;1;210.000
4;2;150;0;1;0;1;0;1;0;0;0;1;1;210.000
6;2;179;0;0;0;0;0;4;0;0;0;1;1;210.000
2;1;70;0;1;0;1;0;0;1;1;0;1;1;210.000
2;2;90;0;1;1;1;0;1;0;0;0;1;1;210.000
4;1;96;0;1;1;1;0;12;1;1;0;1;1;210.000
2;3;120;0;0;0;0;0;1;0;0;0;0;0;209.400
4;2;99;0;1;1;1;0;11;1;1;0;0;0;206.000
2;2;77;0;1;1;1;0;1;0;0;1;1;1;205.000
3;2;86;0;0;0;0;0;5;0;1;0;1;1;205.000
2;2;82;0;1;0;1;0;15;0;0;0;0;0;205.000
1;1;50;0;1;1;1;0;2;1;1;1;1;1;205.000
2;2;84;0;1;0;0;0;1;0;1;0;1;0;205.000
2;1;70;2;1;1;0;0;15;1;1;0;1;1;202.183
2;1;63;0;1;0;1;0;15;0;0;0;1;1;200.000
3;2;270;0;1;1;0;0;15;0;0;0;1;1;200.000
3;2;120;0;0;0;0;0;0;0;0;0;1;1;200.000
3;2;90;0;0;0;0;0;9;1;1;0;1;1;200.000
4;2;150;1;1;0;1;2;15;0;0;0;0;0;199.000
2;2;84;0;0;0;0;0;2;1;1;0;1;1;199.000
2;2;91;0;1;1;1;0;15;0;0;1;0;1;199.000
9;3;490;0;1;1;0;0;0;1;1;1;1;1;199.000
2;2;82;0;1;0;1;0;12;0;0;0;0;0;198.000
5;3;182;2;1;1;1;2;15;1;1;0;1;1;198.000
3;1;96;0;1;0;1;0;2;1;0;0;1;1;198.000
3;1;90;0;1;1;0;0;15;1;1;1;1;1;197.000
3;2;116;2;1;1;1;0;15;1;1;0;1;1;196.000
2;1;80;2;1;0;1;0;15;1;0;0;1;1;195.700
2;2;85;0;0;1;0;1;0;0;0;0;0;0;195.000
4;2;95;0;1;1;0;0;15;1;1;0;1;1;195.000
2;2;94;0;0;1;0;0;2;1;1;2;0;1;195.000
3;2;108;2;0;0;0;0;15;0;0;0;0;0;195.000
4;2;184;1;1;0;0;0;15;1;1;0;1;1;195.000
3;1;97;0;0;0;0;0;1;0;0;0;1;0;195.000
3;2;62;0;1;1;0;0;15;1;1;0;1;1;195.000
3;1;77;0;1;1;1;0;15;1;1;1;1;1;195.000
2;1;89;0;0;0;0;0;2;0;1;0;0;1;194.999
3;2;85;0;0;0;0;0;15;0;0;0;0;0;194.000
2;1;487;1;1;1;1;0;15;1;1;0;1;1;194.000
2;1;53;0;1;0;1;0;0;0;0;0;1;1;193.000
3;2;90;0;1;0;1;0;15;1;0;1;1;1;192.323
1;1;50;0;0;1;1;0;1;1;1;1;1;1;192.000
3;1;150;2;1;1;1;0;15;1;1;2;1;1;191.000
3;1;130;0;1;1;1;0;4;1;1;1;1;1;191.000
3;2;100;0;1;1;1;0;15;1;0;0;1;1;190.500
3;2;73;2;1;0;0;0;15;0;0;0;0;1;190.000
3;2;86;0;1;1;0;0;15;0;1;0;1;1;190.000
2;2;95;0;1;0;0;0;11;0;1;0;0;0;190.000
3;2;94;0;1;0;0;0;12;0;0;1;1;1;190.000
2;1;55;0;0;1;1;0;15;1;1;1;0;0;190.000
2;1;94;1;0;0;0;0;3;1;1;0;1;1;190.000
3;2;89;0;1;0;0;0;3;0;0;0;1;1;190.000
2;2;90;0;1;1;1;2;15;1;1;1;1;1;190.000
3;2;117;0;1;0;1;0;2;0;0;0;1;1;190.000
3;2;90;0;1;1;1;0;12;0;0;0;1;1;190.000
2;1;73;0;1;0;0;0;15;1;1;1;1;1;190.000
1;1;56;0;0;1;1;0;1;1;1;0;1;1;190.000
3;2;100;0;0;1;1;2;15;1;0;0;1;1;190.000
2;2;82;0;1;0;1;0;15;1;0;0;1;1;190.000
2;1;68;0;0;0;0;0;11;0;1;0;0;1;189.000
2;2;96;0;1;0;0;0;12;1;0;0;1;1;189.000
2;2;74;0;1;1;0;0;15;0;1;0;0;1;189.000
3;1;66;0;1;0;0;0;13;1;1;0;1;1;189.000
3;2;102;2;1;0;1;0;15;1;1;0;1;1;189.000
4;3;140;0;1;0;0;0;12;1;1;0;1;1;188.000
4;1;93;1;1;1;1;0;15;0;0;1;1;0;188.000
3;2;110;0;0;0;0;1;15;0;1;0;1;1;187.000
3;2;95;0;1;0;1;0;15;0;1;1;1;1;187.000
4;2;120;0;0;0;1;0;15;1;1;0;1;1;186.500
3;2;85;0;1;0;1;0;15;0;1;0;1;1;186.000
2;2;100;0;0;0;0;0;1;1;1;1;1;1;186.000
3;1;85;0;0;0;0;0;15;1;1;0;1;1;186.000
2;2;103;0;0;0;0;0;1;0;0;0;0;0;186.000
2;2;110;0;0;0;0;0;1;0;0;1;0;0;185.000
2;2;125;2;0;1;1;0;0;1;0;0;1;1;185.000
4;2;101;0;1;1;1;0;15;1;1;0;1;1;185.000
2;1;70;2;1;1;0;0;15;0;1;0;0;0;184.000
1;1;44;2;1;1;1;0;12;1;1;0;1;1;184.000
3;2;98;0;0;0;0;0;3;0;1;0;1;1;183.000
2;1;95;0;0;0;0;0;1;0;1;1;0;0;182.342
3;2;87;2;1;1;0;0;15;0;0;0;1;1;182.000
3;2;121;2;1;1;1;0;15;0;0;0;0;0;182.000
1;1;67;2;1;1;1;0;15;1;1;0;1;1;181.000
4;2;170;0;0;0;0;0;15;1;1;0;0;0;180.000
4;2;135;1;1;0;1;0;15;1;1;0;1;1;180.000
2;1;75;2;1;1;1;2;15;1;1;2;1;1;180.000
3;2;180;0;1;1;1;0;15;1;1;1;1;1;180.000
3;2;80;0;0;0;0;0;11;0;1;0;0;0;180.000
4;2;115;0;1;0;0;0;14;0;0;1;1;1;180.000
3;2;90;0;1;0;1;2;15;0;0;0;1;1;180.000
3;1;85;2;1;0;1;2;15;0;0;0;1;1;180.000
3;1;70;0;1;0;0;0;15;1;1;0;1;0;180.000
3;2;80;2;1;1;1;0;15;1;0;1;1;1;180.000
3;2;91;0;1;0;0;0;15;0;1;0;1;1;180.000
1;1;78;0;0;0;0;0;4;1;1;1;1;1;180.000
2;2;69;0;0;1;0;0;15;1;1;2;0;1;180.000
4;1;120;0;0;0;0;0;15;1;0;1;1;1;180.000
3;2;120;0;0;0;0;0;3;1;0;0;1;1;180.000
3;2;110;0;0;0;0;0;2;0;0;0;0;0;180.000
4;2;139;0;1;0;0;0;15;0;0;0;1;1;180.000
3;1;70;0;1;1;0;0;1;1;1;0;1;1;180.000
3;2;93;0;1;1;0;0;0;0;0;0;1;1;180.000
5;2;185;0;0;0;1;0;15;1;1;1;1;1;180.000
2;2;80;2;1;0;1;0;15;1;0;0;1;1;180.000
2;1;70;0;1;1;1;0;5;1;0;1;1;1;179.900
4;1;121;0;1;1;1;0;15;0;1;0;1;1;179.300
3;1;78;0;1;0;0;0;13;0;0;1;1;0;179.000
3;2;100;0;1;1;0;0;1;1;1;0;1;1;179.000
3;2;120;0;0;0;0;0;15;0;1;0;0;1;179.000
2;1;65;0;1;0;1;1;2;0;0;0;1;1;178.000
3;1;95;0;1;0;0;0;2;1;0;1;1;1;178.000
4;2;111;0;1;0;1;0;15;0;0;0;1;1;178.000
3;1;98;1;1;1;1;0;15;1;1;0;1;1;177.000
2;2;85;0;0;0;0;0;0;0;0;0;0;0;176.600
2;2;78;0;1;1;1;0;15;1;1;2;1;1;176.500
2;1;65;0;0;1;1;2;1;1;1;0;0;0;176.000
3;1;97;0;1;1;1;0;15;1;1;0;1;1;175.600
3;2;198;0;0;0;0;0;2;0;0;0;0;0;175.000
4;2;88;1;1;1;0;0;12;1;1;2;1;1;175.000
2;2;64;0;0;1;0;0;6;1;1;0;1;1;175.000
3;2;124;0;0;0;0;0;1;0;1;0;1;1;175.000
2;2;80;0;1;1;0;0;15;1;0;0;0;0;175.000
2;1;62;0;1;1;1;2;15;1;1;1;1;1;175.000
4;1;95;0;1;1;1;0;15;1;1;0;1;1;175.000
2;2;76;2;1;1;0;0;15;0;0;0;0;0;175.000
2;2;75;0;0;1;0;0;15;0;1;1;0;1;175.000
4;2;160;0;1;0;1;1;2;1;0;1;1;1;175.000
3;2;81;2;1;1;1;0;12;0;0;0;1;1;175.000
3;2;160;0;0;0;0;0;15;0;0;0;0;1;175.000
2;2;91;0;0;0;0;0;3;0;0;0;0;1;175.000
2;1;106;2;1;1;1;0;15;1;1;0;1;1;174.500
1;1;55;0;1;0;0;0;15;0;1;0;0;1;174.000
2;1;86;0;0;0;0;0;2;1;1;1;1;1;174.000
2;1;87;0;0;0;0;0;2;1;1;0;1;1;173.000
2;2;98;2;1;1;1;2;15;1;0;0;1;1;173.000
3;2;112;0;0;0;1;0;2;1;1;0;1;1;173.000
1;1;59;2;1;0;1;0;15;1;0;0;1;1;172.742
3;1;75;0;0;1;1;0;15;1;1;1;1;1;171.000
3;2;135;0;0;0;0;0;3;1;1;0;1;1;171.000
2;1;56;0;1;1;1;0;15;1;1;0;0;1;170.300
1;1;59;2;1;0;1;0;15;1;0;0;1;1;170.262
3;2;120;0;0;0;0;0;1;0;0;0;1;1;170.000
2;1;60;0;1;1;1;0;14;1;0;1;1;1;170.000
3;1;96;0;1;1;1;0;15;1;1;0;1;1;170.000
2;1;80;0;0;0;0;0;1;0;1;0;0;0;170.000
2;1;60;0;1;1;1;0;2;1;1;0;0;0;170.000
3;2;107;2;1;0;1;0;15;0;0;0;1;1;170.000
3;2;117;0;0;0;1;0;11;0;0;0;0;0;170.000
2;2;80;0;1;1;0;0;15;0;1;0;0;1;169.900
3;2;94;2;1;0;0;0;15;1;1;0;0;1;169.900
3;2;110;0;1;1;1;2;15;1;1;1;1;1;169.000
2;1;75;0;1;0;0;0;1;0;1;0;0;0;169.000
3;1;104;0;0;0;0;0;13;0;1;1;0;1;169.000
3;2;105;2;1;1;1;0;15;1;1;0;1;1;169.000
2;2;97;2;1;0;0;0;15;0;0;0;0;0;169.000
4;1;98;0;1;1;1;0;15;1;1;0;1;1;169.000
3;1;90;0;0;0;1;0;15;1;1;0;1;1;168.283
2;1;70;0;0;0;0;0;15;0;1;0;0;1;168.000
3;2;99;2;1;1;1;0;15;1;1;0;1;1;168.000
2;2;98;0;0;1;1;2;15;1;1;0;0;1;167.666
3;2;110;0;1;1;1;2;15;1;1;1;1;1;167.000
3;1;68;0;0;1;1;0;15;1;1;0;1;1;166.000
2;1;60;0;0;0;0;0;2;1;1;0;0;1;165.000
2;1;60;2;1;1;1;0;15;1;1;0;0;1;165.000
2;1;65;0;0;0;0;0;5;1;1;0;1;1;165.000
1;1;70;0;1;0;1;0;15;1;0;1;1;1;165.000
4;2;140;0;1;1;0;0;15;0;1;0;1;1;165.000
2;1;86;0;1;0;1;0;15;1;1;0;1;1;165.000
2;2;85;0;0;0;0;0;14;0;0;0;0;1;165.000
2;2;116;0;0;1;0;0;11;1;1;0;0;0;165.000
3;2;112;0;1;0;0;0;2;1;1;0;1;1;165.000
1;2;95;2;1;1;1;2;15;1;0;0;1;1;165.000
3;2;105;2;1;1;1;0;15;1;1;0;1;1;164.000
4;2;185;1;0;0;0;0;6;1;1;0;1;1;163.000
2;1;75;0;0;1;0;0;15;1;1;1;1;1;163.000
3;1;75;0;0;1;1;0;15;1;1;0;1;1;163.000
3;2;101;0;0;1;0;0;14;0;1;0;1;0;162.000
2;2;70;2;1;0;0;0;15;0;1;0;0;0;162.000
4;2;130;0;1;1;1;2;15;1;1;0;1;1;162.000
3;2;88;2;1;1;0;0;15;0;1;0;0;1;160.750
2;1;90;0;0;0;1;0;2;1;0;1;1;0;160.000
2;1;58;0;1;1;1;0;15;1;1;1;1;1;160.000
